DateTime,AddedIPs,RemovedIPs
1607245422,86,95
1607247244,127,101
1607249752,178,96
1607250845,86,118
1607252942,187,229
1607254444,136,95
1607255785,105,30
1607257507,121,58
1607258045,31,94
1607259918,103,96
1607261648,127,104
1607264126,116,79
1607265244,80,108
1607266518,57,41
1607268308,150,69
1607268844,147,110
1607270338,324,100
1607271906,243,5
1607274094,241,263
1607275507,112,0
1607276812,112,171
1607278699,138,79
1607279645,131,75
1607281550,215,81
1607282705,148,0
1607284204,206,89
1607285300,85,55
1607286844,246,74
1607290444,423,139
1607293505,230,98
1607294044,48,70
1607296137,176,67
1607297277,84,0
1607298609,107,109
1607300706,139,53
1607301244,56,92
1607302857,139,65
1607304306,91,0
1607304845,51,67
1607306562,111,71
1607308447,131,103
1607310897,166,70
1607312045,73,151
1607313359,118,53
1607315111,116,168
1607315646,32,77
1607319249,246,177
1607322848,416,176
1607325542,692,94
1607326444,280,75
1607328568,670,89
1607330473,524,111
1607333108,855,49
1607333669,160,102
1607335346,575,104
1607337244,506,84
1607338758,414,67
1607340844,326,98
1607342084,73,33
1607343909,99,60
1607345411,100,136
1607346957,115,86
1607348044,88,84
1607350192,144,97
1607351644,114,86
1607353988,170,85
1607355252,90,89
1607356627,101,39
1607358305,165,68
1607358848,33,101
1607362445,254,225
1607363544,70,30
1607365505,143,80
1607366045,55,82
1607367146,88,19
1607368879,174,41
1607369644,55,74
1607373248,376,164
1607374459,74,30
1607376307,232,59
1607376845,59,71
1607379349,297,101
1607382539,212,196
1607383834,86,115
1607385005,83,35
1607386378,84,64
1607387645,74,84
1607391245,265,167
1607392634,81,21
1607394305,102,58
1607394845,51,80
1607397906,253,111
1607399406,106,126
1607402044,224,189
1607405105,229,127
1607406461,88,137
1607409244,193,183
1607411001,133,104
1607412845,153,102
1607415905,239,82
1607417134,90,158
1607420044,212,212
1607423645,266,295
1607424777,60,55
1607427244,142,226
1607430848,240,266
1607432579,101,104
1607434445,83,86
1607437294,174,96
1607439004,118,161
1607440612,178,97
1607441645,88,154
1607443297,150,136
1607445251,123,106
1607447315,127,114
1607448510,76,0
1607451025,221,210
1607452445,95,100
1607453982,108,97
1607455508,85,6
